Start_Building,Start_Lat,Start_Lon,End_Building,End_Lat,End_Lon,Distance (m),Walking_Speed (m/s),ETA (min),Path,Terrain_concrete,Terrain_ground,Terrain_paved,Terrain_paving_stones
KKK II,3.004514,101.720438,KPM II,3.003631,101.71975,0.20382707715786694,1.0,0.2351219512195122,"[(3.004514, 101.720438), (3.004514, 101.720153), (3.004375, 101.720073), (3.004339, 101.72004), (3.004319, 101.720021), (3.004172, 101.720023), (3.004, 101.720025), (3.00382, 101.720028), (3.003632, 101.720031), (3.003631, 101.71975)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,Library,3.004833,101.719575,0.1484900067502128,1.0,0.17365853658536587,"[(3.004514, 101.720438), (3.004514, 101.720153), (3.004375, 101.720073), (3.004499, 101.719937), (3.004637, 101.719793), (3.004806, 101.719635), (3.004787, 101.719616), (3.004833, 101.719575)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,Tower Block,3.008645,101.721409,0.8657294632113405,1.0,0.968780487804878,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.007037, 101.721538), (3.007496, 101.721724), (3.007908, 101.721891), (3.008146, 101.721957), (3.008312, 101.721947), (3.008523, 101.721365), (3.008645, 101.721409)]",0.0,0.0,0.0,1.0
KMP I,3.007385,101.721337,ACADEMIC BLOCK,3.005997,101.721394,0.3481935843629853,1.3,0.2965853658536586,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007037, 101.721538), (3.006873, 101.721471), (3.006848, 101.721528), (3.006763, 101.721731), (3.006671, 101.721697), (3.006686, 101.721655), (3.005997, 101.721394)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,ADMINISTRATION BLOCK,3.006333,101.720479,0.2385173010888387,1.3,0.20292682926829267,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007191, 101.721), (3.006972, 101.720904), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,ION2,3.008366,101.72091,0.23336659525137207,1.3,0.19902439024390242,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008366, 101.72091)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KAA I,3.006982,101.721075,0.15193848501746252,1.3,0.12878048780487805,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007191, 101.721), (3.006972, 101.720904), (3.006899, 101.720874), (3.006839, 101.721022), (3.006982, 101.721075)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KAA II,3.004261,101.721313,0.6739353740498343,1.3,0.5736585365853658,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007037, 101.721538), (3.006873, 101.721471), (3.006848, 101.721528), (3.006763, 101.721731), (3.006671, 101.721697), (3.006686, 101.721655), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004871, 101.721149), (3.004773, 101.721204), (3.004498, 101.721358), (3.00443, 101.721227), (3.004368, 101.721258), (3.004333, 101.721276), (3.004296, 101.721295), (3.004261, 101.721313)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KAW I,3.00676,101.720992,0.14088868018665807,1.3,0.12000000000000002,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007191, 101.721), (3.006972, 101.720904), (3.006899, 101.720874), (3.006839, 101.721022), (3.00676, 101.720992)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KAW II,3.004961,101.721446,0.5535761453350161,1.3,0.4712195121951219,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007037, 101.721538), (3.006873, 101.721471), (3.006848, 101.721528), (3.006763, 101.721731), (3.006671, 101.721697), (3.006686, 101.721655), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005208, 101.721289), (3.004975, 101.721407), (3.004961, 101.721446)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KBP I (EAST),3.006915,101.720413,0.1980013500425557,1.3,0.16878048780487803,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007191, 101.721), (3.006972, 101.720904), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006915, 101.720413)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KBP I (NORTH),3.007784,101.720685,0.12888504094150793,1.3,0.10926829268292682,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007472, 101.720934), (3.00765, 101.721013), (3.007784, 101.720685)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KBP II,3.004822,101.722189,0.6742141871863353,1.3,0.5746341463414635,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007037, 101.721538), (3.006873, 101.721471), (3.006848, 101.721528), (3.006763, 101.721731), (3.006671, 101.721697), (3.006686, 101.721655), (3.005997, 101.721394), (3.00568, 101.721268), (3.005623, 101.721395), (3.005591, 101.721465), (3.005576, 101.721497), (3.005606, 101.72151), (3.00541, 101.721997), (3.005367, 101.721982), (3.005342, 101.722047), (3.005328, 101.722084), (3.005148, 101.722012), (3.004964, 101.721938), (3.004945, 101.721931), (3.004858, 101.722115), (3.004822, 101.722189)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KEE I,3.007416,101.720382,0.1601414609808353,1.3,0.13658536585365855,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007472, 101.720934), (3.007543, 101.720759), (3.00734, 101.720668), (3.007334, 101.720665), (3.007306, 101.720653), (3.007416, 101.720382)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KEE II,3.004173,101.719735,0.779972412173862,1.3,0.6643902439024391,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007191, 101.721), (3.006972, 101.720904), (3.007031, 101.720755), (3.007036, 101.720743), (3.006883, 101.72068), (3.006814, 101.720654), (3.006589, 101.720572), (3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004775, 101.719439), (3.004752, 101.719438), (3.004503, 101.719438), (3.004432, 101.719437), (3.00437, 101.719436), (3.004174, 101.719433), (3.004173, 101.719735)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KKA I,3.007845,101.72149,0.1881548440113873,1.3,0.16,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.007845, 101.72149)]",1.0,0.0,0.0,0.0
KMP I,3.007385,101.721337,KKA II,3.003791,101.720491,0.7935462096087812,1.3,0.6760975609756097,"[(3.007385, 101.721337), (3.007474, 101.721122), (3.007406, 101.721093), (3.007244, 101.721023), (3.007037, 101.721538), (3.006873, 101.721471), (3.006848, 101.721528), (3.006763, 101.721731), (3.006671, 101.721697), (3.006686, 101.721655), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.00427, 101.720713), (3.004201, 101.720668), (3.004177, 101.720652), (3.003789, 101.720644), (3.003791, 101.720491)]",1.0,0.0,0.0,0.0
